tag,cve,packageName,comment,timeAdded
ATO-FrontEnd-POAM,CVE-2020-29652,golang.org/x/crypto,fixed in v0.0.0-20201216223049-8b5274cf687f,
ATO-FrontEnd-POAM,PRISMA-2021-0182,org.eclipse.jetty_jetty-servlet,fixed in 9.4.44,
ATO-FrontEnd-POAM,CVE-2021-21688,org.jenkins-ci.main_jenkins-core,fixed in 2.319 2.303.3,
ATO-FrontEnd-POAM,CVE-2021-21686,org.jenkins-ci.main_jenkins-core,fixed in 2.319 2.303.3,
ATO-FrontEnd-POAM,CVE-2021-21685,org.jenkins-ci.main_jenkins-core,fixed in 2.319 2.303.3,
ATO-FrontEnd-POAM,CVE-2021-21687,org.jenkins-ci.main_jenkins-core,fixed in 2.319 2.303.3,
ATO-FrontEnd-POAM,CVE-2021-21689,org.jenkins-ci.main_jenkins-core,fixed in 2.319 2.303.3,
ATO-FrontEnd-POAM,CVE-2021-21690,org.jenkins-ci.main_jenkins-core,fixed in 2.319 2.303.3,
ATO-FrontEnd-POAM,CVE-2021-21695,org.jenkins-ci.main_jenkins-core,fixed in 2.319 2.303.3,
ATO-FrontEnd-POAM,CVE-2021-21694,org.jenkins-ci.main_jenkins-core,fixed in 2.319 2.303.3,
ATO-FrontEnd-POAM,CVE-2021-21693,org.jenkins-ci.main_jenkins-core,fixed in 2.319 2.303.3,
ATO-FrontEnd-POAM,CVE-2021-21692,org.jenkins-ci.main_jenkins-core,fixed in 2.319 2.303.3,
ATO-FrontEnd-POAM,CVE-2021-21691,org.jenkins-ci.main_jenkins-core,fixed in 2.319 2.303.3,
ATO-FrontEnd-POAM,PRISMA-2021-0182,org.eclipse.jetty_jetty-server,fixed in 9.4.44,
ATO-FrontEnd-POAM,PRISMA-2021-0213,com.fasterxml.jackson.core_jackson-databind,fixed in 2.14 2.13.1 2.12.6,
ATO-FrontEnd-POAM,CVE-2021-21686,jenkins,fixed in 2.319 2.303.3,
ATO-FrontEnd-POAM,CVE-2021-21689,jenkins,fixed in 2.319 2.303.3,
ATO-FrontEnd-POAM,CVE-2021-21694,jenkins,fixed in 2.319 2.303.3,
ATO-FrontEnd-POAM,CVE-2021-21687,jenkins,fixed in 2.319 2.303.3,
ATO-FrontEnd-POAM,CVE-2021-21695,jenkins,fixed in 2.319 2.303.3,
ATO-FrontEnd-POAM,CVE-2021-21690,jenkins,fixed in 2.319 2.303.3,
ATO-FrontEnd-POAM,CVE-2021-21685,jenkins,fixed in 2.319 2.303.3,
ATO-FrontEnd-POAM,CVE-2021-21688,jenkins,fixed in 2.319 2.303.3,
ATO-FrontEnd-POAM,CVE-2021-21693,jenkins,fixed in 2.319 2.303.3,
